458 + 367 =|825#815#835#824
726 + 189 =|915#905#925#914
845 - 276 =|569#559#579#568
900 - 458 =|442#432#452#441
125 × 4 =|500#450#520#480
36 × 7 =|252#242#262#256
48 × 9 =|432#422#442#438
144 / 12 =|12#10#11#14
225 / 15 =|15#14#16#18
364 / 7 =|52#51#53#54
1/2 + 1/2 =|1#2#3/2#1/2
1/4 + 2/4 =|3/4#1/2#1#2/4
3/5 - 1/5 =|2/5#1/5#3/5#4/5
Pecahan terbesar adalah|5/6#3/4#2/3#1/2
KPK dari 4 dan 6 adalah|12#10#8#24
FPB dari 12 dan 18 adalah|6#3#9#12
Luas persegi dengan sisi 8 cm adalah|64 cm²#32 cm²#16 cm²#56 cm²
Keliling persegi panjang dengan panjang 10 cm dan lebar 5 cm adalah|30 cm#25 cm#20 cm#50 cm
1 km sama dengan|1000 meter#100 meter#10000 meter#10 meter
3 jam 15 menit sama dengan|195 menit#180 menit#175 menit#205 menit
Ide pokok paragraf adalah|Gagasan utama#Gambar utama#Judul#Bab
Sinonim kata "cermat" adalah|Teliti#Malas#Cepat#Tinggi
Antonim kata "optimis" adalah|Pesimis#Semangat#Rajin#Percaya
Kalimat efektif adalah|Andi membaca buku di perpustakaan.#Andi buku membaca di perpustakaan.#Di perpustakaan membaca Andi buku.#Buku Andi di membaca perpustakaan.
Tanda petik digunakan untuk|Mengapit dialog#Mengakhiri kalimat#Memisahkan angka#Menghubungkan kata
Kata baku yang benar adalah|Praktik#Praktek#Praktek#Praktiek
Awalan pada kata "memasak" adalah|Me#Masak#Mema#Asak
Akhiran pada kata "keindahan" adalah|An#Han#Indah#Ke
Paragraf terdiri atas beberapa|Kalimat#Huruf#Suku kata#Angka
Kalimat tanya diakhiri dengan|Tanda tanya#Titik#Koma#Titik koma
Fotosintesis memerlukan|Air#Sinar matahari#Karbon dioksida#Semua benar
Bagian tumbuhan yang menyerap air adalah|Akar#Daun#Batang#Bunga
Perubahan air menjadi es disebut|Membeku#Menguap#Mencair#Mengembun
Planet terbesar di tata surya adalah|Jupiter#Mars#Bumi#Venus
Energi yang berasal dari angin disebut|Energi angin#Energi panas#Energi listrik#Energi kimia
Contoh hewan ovipar adalah|Ayam#Kucing#Sapi#Kelinci
Indonesia terletak di benua|Asia#Eropa#Afrika#Australia
Pulau terbesar di Indonesia adalah|Kalimantan#Jawa#Bali#Madura
Mata pencaharian penduduk pantai banyak sebagai|Nelayan#Petani#Guru#Dokter
Kegiatan membeli barang dari luar negeri disebut|Impor#Ekspor#Distribusi#Produksi
Hak warga negara adalah|Mendapat perlindungan#Melanggar hukum#Merusak fasilitas#Mengganggu orang lain
Kewajiban warga negara adalah|Menaati hukum#Melanggar aturan#Membuang sampah sembarangan#Berbuat curang
Sila keempat Pancasila dilambangkan dengan|Kepala banteng#Bintang#Rantai#Pohon beringin
Musyawarah bertujuan mencapai|Mufakat#Pertengkaran#Hukuman#Perlombaan
RAM pada komputer berfungsi sebagai|Penyimpanan sementara#Layar#Pencetak#Pengeras suara
Perangkat untuk memasukkan gambar ke komputer adalah|Scanner#Printer#Monitor#Speaker
Ctrl + V digunakan untuk|Menempel#Menyalin#Memotong#Mencetak
Ekstensi file Microsoft Word modern adalah|.docx#.xlsx#.pptx#.txt
Internet yang digunakan dengan bijak harus|Menjaga privasi#Membagikan password#Mengirim spam#Mengunduh virus
Apple tree berarti|Pohon apel#Pohon mangga#Pohon jeruk#Pohon pisang
Library berarti|Perpustakaan#Sekolah#Rumah sakit#Pasar
Breakfast berarti|Sarapan#Makan siang#Makan malam#Camilan
Yesterday berarti|Kemarin#Hari ini#Besok#Lusa
Always berarti|Selalu#Kadang-kadang#Tidak pernah#Jarang
What time is it? berarti|Jam berapa sekarang?#Siapa namamu?#Di mana rumahmu?#Berapa umurmu?
My father is a doctor berarti|Ayah saya seorang dokter#Ayah saya seorang guru#Saya seorang dokter#Ayah saya sedang tidur
There are twelve months in a year berarti|Ada dua belas bulan dalam setahun#Ada sepuluh bulan dalam setahun#Ada tiga belas bulan dalam setahun#Ada sebelas bulan dalam setahun
Clean berarti|Bersih#Kotor#Panas#Dingin
Strong berarti|Kuat#Lemah#Tinggi#Pendek
Sumpah Pemuda diperingati setiap tanggal|28 Oktober#17 Agustus#10 November#21 April
Pahlawan yang dikenal sebagai Bapak Pendidikan Nasional adalah|Ki Hajar Dewantara#Soekarno#Mohammad Hatta#Jenderal Sudirman
Lagu Indonesia Raya diciptakan oleh|W.R. Supratman#Ismail Marzuki#Cornel Simanjuntak#Ibu Sud
Teks Proklamasi dibacakan di|Jakarta#Bandung#Yogyakarta#Surabaya
Hari Kesaktian Pancasila diperingati setiap|1 Oktober#1 Juni#10 November#17 Agustus
0,5 sama dengan pecahan|1/2#1/4#2/3#3/4
0,25 sama dengan|1/4#1/2#3/4#2/5
25% sama dengan|1/4#1/2#3/5#2/3
Luas persegi panjang dengan panjang 15 cm dan lebar 8 cm adalah|120 cm²#115 cm²#130 cm²#100 cm²
Volume kubus dengan sisi 4 cm adalah|64 cm³#16 cm³#32 cm³#48 cm³
Bangun ruang yang memiliki 6 sisi sama besar adalah|Kubus#Balok#Tabung#Kerucut
Sudut lurus besarnya|180 derajat#90 derajat#45 derajat#360 derajat
Hasil dari 12,5 + 7,5 adalah|20#18#19#21
Hasil dari 8,4 - 2,1 adalah|6,3#6,5#5,3#6,1
KPK dari 8 dan 12 adalah|24#16#12#48
FPB dari 24 dan 36 adalah|12#6#8#24
Kalimat utama biasanya terletak di|Awal atau akhir paragraf#Tengah paragraf#Judul#Gambar
Simpulan bacaan dibuat berdasarkan|Isi bacaan#Judul saja#Gambar saja#Kalimat terakhir
Kata "keberanian" memiliki imbuhan|Ke-an#Ber-an#Ke-ber#An
Antonim kata "jujur" adalah|Bohong#Baik#Rajin#Cerdas
