125 + 36 =|161#151#162#171
243 + 57 =|300#290#310#301
187 + 94 =|281#271#291#280
356 + 129 =|485#475#495#486
432 + 168 =|600#590#610#601
245 - 123 =|122#121#123#124
500 - 275 =|225#215#235#220
731 - 128 =|603#593#613#602
648 - 246 =|402#401#403#404
900 - 375 =|525#515#535#530
8 × 7 =|56#54#58#64
9 × 8 =|72#70#74#64
12 × 4 =|48#44#52#46
6 × 11 =|66#60#72#68
7 × 12 =|84#82#86#88
72 / 8 =|9#8#10#7
81 / 9 =|9#8#7#10
48 / 6 =|8#6#7#9
96 / 12 =|8#6#9#10
63 / 7 =|9#8#7#10
Nilai tempat ratusan pada bilangan 482 adalah|4#8#2#482
Bilangan terbesar adalah|987#978#897#879
1 meter sama dengan|100 cm#10 cm#1000 cm#1 cm
Bangun datar yang memiliki 4 sudut siku-siku adalah|Persegi panjang#Segitiga#Lingkaran#Trapesium
Keliling persegi dihitung dengan|4 × sisi#Sisi × sisi#2 × sisi#Sisi + 2
Sinonim kata "indah" adalah|Cantik#Jelek#Buruk#Gelap
Antonim kata "hemat" adalah|Boros#Rajin#Pintar#Baik
Kalimat yang menggunakan tanda tanya adalah|Siapa nama gurumu?#Saya pergi ke sekolah.#Belajar itu penting.#Ayo bermain.
Awalan pada kata "bermain" adalah|Ber#Main#Bermain#Mai
Akhiran pada kata "makanan" adalah|An#Kan#Ma#Maka
Ide pokok adalah|Gagasan utama#Gambar#Judul#Bab
Kata baku yang benar adalah|Apotek#Apotik#Apotekk#Apothik
Tumbuhan hijau membuat makanan melalui|Fotosintesis#Bernapas#Berjalan#Berkembang biak
Hewan yang mengalami metamorfosis sempurna adalah|Kupu-kupu#Kucing#Sapi#Ayam
Organ tubuh yang memompa darah adalah|Jantung#Paru-paru#Hati#Lambung
Planet tempat manusia tinggal adalah|Bumi#Mars#Yupiter#Venus
Air menguap karena terkena|Panas#Dingin#Angin#Batu
Sumber energi terbesar di bumi adalah|Matahari#Bulan#Bintang#Listrik
Profesi yang menjaga keamanan adalah|Polisi#Guru#Dokter#Petani
Kegiatan jual beli dilakukan di|Pasar#Sekolah#Sawah#Rumah sakit
Gunung# sungai# dan danau termasuk|Kenampakan alam#Kenampakan buatan#Alat transportasi#Bangunan
Indonesia memiliki semboyan|Bhinneka Tunggal Ika#Tut Wuri Handayani#Merdeka atau Mati#Sekali Merdeka
Hak anak di sekolah adalah|Mendapat pendidikan#Membuang sampah sembarangan#Melanggar aturan#Datang terlambat
Kewajiban siswa adalah|Belajar dengan rajin#Merusak fasilitas#Berkelahi#Membolos
Lambang sila ketiga Pancasila adalah|Pohon beringin#Rantai#Bintang#Kepala banteng
CPU merupakan|Otak komputer#Layar komputer#Alat cetak#Pengeras suara
File dapat disimpan di|Hard disk#Keyboard#Mouse#Monitor
Ikon tempat menghapus file adalah|Recycle Bin#Paint#Word#Calculator
Ctrl + C digunakan untuk|Menyalin#Memotong#Menempel#Mencetak
Internet dapat dimanfaatkan untuk|Mencari informasi#Merusak komputer#Membuat virus#Menghapus data
One hundred berarti|Seratus#Sepuluh#Seribu#Sembilan puluh
Monday berarti|Senin#Minggu#Selasa#Rabu
Teacher berarti|Guru#Dokter#Petani#Polisi
Hospital berarti|Rumah sakit#Sekolah#Pasar#Terminal
Beautiful berarti|Indah#Buruk#Tinggi#Cepat
Hungry berarti|Lapar#Haus#Senang#Marah
Twelve berarti|Dua belas#Dua puluh#Sepuluh#Sebelas
What is your name? berarti|Siapa namamu?#Di mana rumahmu?#Berapa umurmu?#Apa hobimu?
Thank you very much berarti|Terima kasih banyak#Selamat pagi#Sampai jumpa#Tolong saya
Good afternoon berarti|Selamat siang#Selamat pagi#Selamat malam#Selamat tidur
Proklamasi Kemerdekaan Indonesia dibacakan pada tahun|1945#1944#1946#1950
Naskah Proklamasi dibacakan oleh|Soekarno#Mohammad Hatta#Ki Hajar Dewantara#Jenderal Sudirman
Hari Pahlawan diperingati setiap tanggal|10 November#17 Agustus#21 April#1 Juni
RA Kartini lahir di|Jepara#Bandung#Surabaya#Medan
Ki Hajar Dewantara dikenal sebagai|Bapak Pendidikan Nasional#Bapak Proklamator#Bapak Koperasi#Bapak Pramuka
1/2 sama dengan|0,5#2#0,2#5
1/4 dari 20 adalah|5#4#6#8
3/5 dari 25 adalah|15#10#20#12
Pecahan yang nilainya paling besar adalah|3/4#1/2#1/4#2/5
2 jam sama dengan|120 menit#60 menit#90 menit#180 menit
Pukul 07.00 disebut|Jam tujuh pagi#Jam tujuh malam#Jam lima pagi#Jam sembilan pagi
1 kilogram sama dengan|1000 gram#100 gram#10000 gram#10 gram
