soal|jawaban benar,jawaban salah,jawaban salah, jawaban salah
1 + 1 =|2,1,3,4
2 + 2 =|4,1,3,5
3 + 1 =|4,2,3,5
5 + 2 =|7,6,5,8
4 + 3 =|7,5,6,8
6 + 1 =|7,5,6,8
2 + 5 =|7,4,6,8
3 + 3 =|6,4,5,7
5 + 3 =|8,6,7,9
4 + 4 =|8,5,6,7
5 - 2 =|3,2,4,5
6 - 1 =|5,4,3,6
7 - 3 =|4,3,5,6
8 - 2 =|6,5,4,7
9 - 4 =|5,4,6,7
10 - 5 =|5,4,3,6
7 - 2 =|5,6,4,3
6 - 3 =|3,2,4,5
9 - 3 =|6,5,7,4
8 - 4 =|4,3,5,6
1 + 4 =|5,4,3,6
2 + 6 =|8,7,6,9
3 + 5 =|8,6,7,9
4 + 5 =|9,8,7,6
6 + 2 =|8,7,9,6
7 + 1 =|8,6,7,9
8 + 1 =|9,8,7,10
5 + 4 =|9,8,7,10
2 + 7 =|9,8,6,10
3 + 6 =|9,7,8,10
10 - 1 =|9,8,7,10
10 - 2 =|8,7,6,9
9 - 2 =|7,6,5,8
8 - 3 =|5,4,6,7
7 - 1 =|6,5,4,7
6 - 2 =|4,3,5,6
5 - 1 =|4,3,2,5
4 - 2 =|2,1,3,4
3 - 1 =|2,1,3,4
2 - 1 =|1,2,3,4
1 + 2 =|3,2,4,5
2 + 3 =|5,4,3,6
4 + 2 =|6,5,4,7
6 + 3 =|9,8,7,10
1 + 5 =|6,5,4,7
3 + 4 =|7,5,6,8
5 + 5 =|10,9,8,7
10 - 3 =|7,6,5,8
9 - 1 =|8,7,6,9
8 - 1 =|7,6,5,8
